Force;Acc4;
-0.000000;-0.000000;
-0.000000;-0.000000;
-0.000000;-0.000000;
-0.000000;-0.000000;
-0.000000;-0.000000;
-0.000000;-0.000000;
-0.000000;-0.000000;
-0.000000;-0.000000;
-0.000000;-0.000000;
-0.000000;-0.000000;
-0.000000;-0.000000;
-0.000000;-0.000000;
-0.000000;-0.000000;
-0.000000;-0.000000;
-0.000000;-0.000000;
-0.000000;-0.000000;
-0.000000;-0.000000;
-0.000000;-0.000001;
-0.000000;-0.000001;
-0.000001;-0.000002;
-0.000001;-0.000003;
-0.000002;-0.000004;
-0.000002;-0.000006;
-0.000003;-0.000009;
-0.000005;-0.000012;
-0.000007;-0.000017;
-0.000009;-0.000023;
-0.000012;-0.000032;
-0.000017;-0.000042;
-0.000022;-0.000056;
-0.000029;-0.000073;
-0.000037;-0.000094;
-0.000048;-0.000120;
-0.000060;-0.000152;
-0.000076;-0.000191;
-0.000094;-0.000237;
-0.000116;-0.000293;
-0.000142;-0.000359;
-0.000172;-0.000436;
-0.000207;-0.000525;
-0.000247;-0.000629;
-0.000294;-0.000749;
-0.000346;-0.000886;
-0.000406;-0.001041;
-0.000472;-0.001217;
-0.000546;-0.001414;
-0.000628;-0.001634;
-0.000719;-0.001878;
-0.000818;-0.002147;
-0.000925;-0.002443;
-0.001041;-0.002767;
-0.001166;-0.003118;
-0.001300;-0.003498;
-0.001441;-0.003906;
-0.001590;-0.004343;
-0.001746;-0.004808;
-0.001909;-0.005300;
-0.002077;-0.005817;
-0.002250;-0.006359;
-0.002427;-0.006923;
-0.002605;-0.007506;
-0.002784;-0.008106;
-0.002962;-0.008718;
-0.003137;-0.009338;
-0.003307;-0.009963;
-0.003471;-0.010586;
-0.003626;-0.011202;
-0.003770;-0.011804;
-0.003900;-0.012386;
-0.004015;-0.012941;
-0.004112;-0.013461;
-0.004189;-0.013938;
-0.004244;-0.014363;
-0.004273;-0.014727;
-0.004276;-0.015022;
-0.004249;-0.015238;
-0.004191;-0.015365;
-0.004100;-0.015394;
-0.003975;-0.015316;
-0.003812;-0.015120;
-0.003613;-0.014797;
-0.003374;-0.014339;
-0.003096;-0.013736;
-0.002778;-0.012979;
-0.002419;-0.012062;
-0.002019;-0.010976;
-0.001579;-0.009715;
-0.001099;-0.008273;
-0.000580;-0.006645;
-0.000022;-0.004828;
0.000572;-0.002818;
0.001201;-0.000613;
0.001863;0.001785;
0.002556;0.004378;
0.003277;0.007162;
0.004023;0.010134;
0.004792;0.013287;
0.005579;0.016617;
0.006383;0.020112;
0.007198;0.023765;
0.008020;0.027562;
0.008847;0.031491;
0.009673;0.035536;
0.010493;0.039680;
0.011305;0.043904;
0.012102;0.048190;
0.012880;0.052514;
0.013635;0.056854;
0.014362;0.061185;
0.015056;0.065481;
0.015711;0.069716;
0.016325;0.073860;
0.016891;0.077886;
0.017406;0.081762;
0.017864;0.085458;
0.018262;0.088943;
0.018596;0.092185;
0.018862;0.095152;
0.019055;0.097813;
0.019173;0.100134;
0.019213;0.102086;
0.019172;0.103637;
0.019046;0.104758;
0.018835;0.105418;
0.018535;0.105591;
0.018147;0.105250;
0.017668;0.104369;
0.017099;0.102927;
0.016438;0.100901;
0.015687;0.098274;
0.014846;0.095028;
0.013917;0.091150;
0.012901;0.086629;
0.011800;0.081457;
0.010617;0.075629;
0.009355;0.069142;
0.008018;0.061999;
0.006609;0.054205;
0.005133;0.045768;
0.003595;0.036700;
0.002000;0.027018;
0.000354;0.016741;
-0.001338;0.005892;
-0.003069;-0.005500;
-0.004833;-0.017405;
-0.006623;-0.029789;
-0.008432;-0.042611;
-0.010253;-0.055832;
-0.012080;-0.069403;
-0.013903;-0.083278;
-0.015717;-0.097403;
-0.017514;-0.111723;
-0.019286;-0.126180;
-0.021026;-0.140712;
-0.022726;-0.155257;
-0.024380;-0.169748;
-0.025981;-0.184119;
-0.027520;-0.198298;
-0.028993;-0.212216;
-0.030392;-0.225801;
-0.031711;-0.238980;
-0.032944;-0.251679;
-0.034086;-0.263825;
-0.035131;-0.275345;
-0.036074;-0.286167;
-0.036911;-0.296218;
-0.037637;-0.305428;
-0.038249;-0.313729;
-0.038743;-0.321053;
-0.039116;-0.327337;
-0.039365;-0.332518;
-0.039487;-0.336539;
-0.039482;-0.339344;
-0.039348;-0.340882;
-0.039083;-0.341106;
-0.038688;-0.339973;
-0.038162;-0.337446;
-0.037505;-0.333492;
-0.036718;-0.328083;
-0.035802;-0.321197;
-0.034760;-0.312819;
-0.033592;-0.302937;
-0.032303;-0.291550;
-0.030894;-0.278658;
-0.029368;-0.264270;
-0.027731;-0.248404;
-0.025985;-0.231080;
-0.024136;-0.212328;
-0.022189;-0.192183;
-0.020148;-0.170689;
-0.018020;-0.147895;
-0.015811;-0.123856;
-0.013527;-0.098636;
-0.011174;-0.072302;
-0.008761;-0.044931;
-0.006293;-0.016604;
-0.003780;0.012592;
-0.001227;0.042564;
0.001355;0.073215;
0.003961;0.104440;
0.006580;0.136132;
0.009205;0.168179;
0.011828;0.200464;
0.014439;0.232869;
0.017031;0.265270;
0.019595;0.297541;
0.022122;0.329556;
0.024604;0.361184;
0.027033;0.392296;
0.029400;0.422760;
0.031698;0.452445;
0.033919;0.481219;
0.036055;0.508954;
0.038100;0.535519;
0.040045;0.560789;
0.041884;0.584640;
0.043612;0.606950;
0.045221;0.627603;
0.046707;0.646486;
0.048064;0.663490;
0.049286;0.678512;
0.050370;0.691455;
0.051311;0.702227;
0.052105;0.710745;
0.052750;0.716931;
0.053243;0.720714;
0.053580;0.722034;
0.053762;0.720837;
0.053785;0.717078;
0.053649;0.710720;
0.053355;0.701738;
0.052901;0.690115;
0.052289;0.675842;
0.051519;0.658922;
0.050594;0.639368;
0.049515;0.617202;
0.048285;0.592457;
0.046907;0.565177;
0.045384;0.535414;
0.043722;0.503232;
0.041923;0.468704;
0.039994;0.431914;
0.037940;0.392954;
0.035767;0.351927;
0.033480;0.308946;
0.031088;0.264130;
0.028596;0.217609;
0.026013;0.169521;
0.023347;0.120011;
0.020604;0.069233;
0.017795;0.017345;
0.014928;-0.035486;
0.012011;-0.089088;
0.009053;-0.143284;
0.006064;-0.197891;
0.003054;-0.252725;
0.000031;-0.307594;
-0.002995;-0.362308;
-0.006015;-0.416672;
-0.009018;-0.470490;
-0.011997;-0.523566;
-0.014941;-0.575704;
-0.017842;-0.626707;
-0.020690;-0.676383;
-0.023477;-0.724540;
-0.026195;-0.770989;
