Frequency_Hz	H1_abs	H2_abs	Coherence
0.00000000e+00	1.48650998e-01	1.62499025e+01	9.14780864e-03
6.94540908e-03	2.21628556e-01	2.84870926e+01	7.77996403e-03
1.38908182e-02	1.85657104e+00	9.32375888e+00	1.99122592e-01
2.08362273e-02	2.85549375e-01	2.61620692e+01	1.09146327e-02
2.77816363e-02	1.10989202e-01	4.93741473e+01	2.24792139e-03
3.47270454e-02	5.50485002e-01	1.00954851e+01	5.45278405e-02
4.16724545e-02	2.84365000e-01	1.36755557e+01	2.07936705e-02
4.86178636e-02	1.07939863e-01	1.78516249e+01	6.04650072e-03
5.55632727e-02	1.82706057e-01	1.02300102e+01	1.78598118e-02
6.25086818e-02	4.66361217e-01	7.35971479e+00	6.33667514e-02
6.94540908e-02	3.47220782e-01	5.59883568e+00	6.20166052e-02
7.63994999e-02	3.91893896e-01	5.50439569e+00	7.11965342e-02
8.33449090e-02	2.11410690e-01	1.16058660e+01	1.82158479e-02
9.02903181e-02	3.88499092e-01	5.09270460e+00	7.62854166e-02
9.72357272e-02	3.23844053e-01	3.60292658e+00	8.98836115e-02
1.04181136e-01	1.56746244e-01	7.18159802e+00	2.18260955e-02
1.11126545e-01	2.48011272e-01	7.17297233e+00	3.45758021e-02
1.18071954e-01	8.55523667e-02	1.49103158e+01	5.73779710e-03
1.25017364e-01	6.71637593e-02	1.31821018e+01	5.09507211e-03
1.31962773e-01	2.91565897e-01	9.85652862e+00	2.95809923e-02
1.38908182e-01	1.26111185e-01	1.47085424e+01	8.57400967e-03
1.45853591e-01	1.65774569e-01	5.83371938e+00	2.84166169e-02
1.52799000e-01	2.14818230e-01	5.00029083e+00	4.29611471e-02
1.59744409e-01	2.31006619e-01	9.85236547e+00	2.34468179e-02
1.66689818e-01	1.89000645e-01	4.84576276e+00	3.90032807e-02
1.73635227e-01	9.72756702e-03	5.49593319e+01	1.76995729e-04
1.80580636e-01	1.96920451e-01	1.48709483e+01	1.32419565e-02
1.87526045e-01	1.60941037e-01	7.69862467e+00	2.09051674e-02
1.94471454e-01	4.89739097e-02	1.18754211e+01	4.12397247e-03
2.01416863e-01	2.07513348e-01	3.86709875e+00	5.36612488e-02
2.08362273e-01	1.24742198e-01	8.72526357e+00	1.42966682e-02
2.15307682e-01	2.01239031e-01	1.84461472e+00	1.09095427e-01
2.22253091e-01	1.60769870e-01	2.41217038e+00	6.66494668e-02
2.29198500e-01	2.08769060e-01	4.65990574e+00	4.48011337e-02
2.36143909e-01	2.37408643e-01	1.98762333e+00	1.19443478e-01
2.43089318e-01	2.27278187e-01	2.38097817e+00	9.54558048e-02
2.50034727e-01	1.31813082e-01	4.49119226e+00	2.93492405e-02
2.56980136e-01	1.21322381e-01	7.48123402e+00	1.62168943e-02
2.63925545e-01	1.86304678e-01	1.55353160e+00	1.19923327e-01
2.70870954e-01	4.39753171e-02	4.52914626e+00	9.70940537e-03
2.77816363e-01	2.15360347e-02	6.37267335e+00	3.37943490e-03
2.84761772e-01	2.68704053e-02	5.04621676e+00	5.32486149e-03
2.91707182e-01	4.97656612e-02	6.10069705e+00	8.15737298e-03
2.98652591e-01	1.78483377e-01	1.10172874e+00	1.62003014e-01
3.05598000e-01	1.01478143e-01	1.17506518e+00	8.63595869e-02
3.12543409e-01	1.10958880e-01	1.06949962e+00	1.03748406e-01
