Frequency_Hz	H1_abs_acc1	H2_abs_acc1	Coh_acc1	H1_abs_acc2	H2_abs_acc2	Coh_acc2	H1_abs_acc3	H2_abs_acc3	Coh_acc3	H1_abs_acc4	H2_abs_acc4	Coh_acc4	H1_abs_acc5	H2_abs_acc5	Coh_acc5	H1_abs_acc6	H2_abs_acc6	Coh_acc6
0.00000000e+00	2.80762152e-01	7.19878407e+00	3.90013299e-02	1.27310674e-01	1.21031132e+01	1.05188369e-02	1.72742643e-01	8.42158735e+00	2.05118864e-02	5.76178710e-02	2.31577282e+01	2.48806232e-03	1.48650998e-01	1.62499025e+01	9.14780864e-03	4.20959314e-02	4.92356273e+01	8.54989236e-04
6.94540908e-03	5.61298162e-01	8.02494224e+00	6.99441996e-02	4.16593874e-01	4.61752546e+00	9.02201574e-02	1.80656329e-01	1.00576510e+01	1.79620797e-02	1.21926853e-01	1.76620240e+01	6.90333412e-03	2.21628556e-01	2.84870926e+01	7.77996403e-03	1.06960070e+00	3.31134215e+00	3.23011230e-01
1.38908182e-02	4.00250674e-01	2.46310920e+01	1.62498144e-02	8.90550633e-01	7.71836480e+00	1.15380739e-01	1.89045774e+00	6.10418301e+00	3.09698733e-01	1.15047652e+00	7.91014907e+00	1.45443090e-01	1.85657104e+00	9.32375888e+00	1.99122592e-01	1.91635201e+00	7.09202168e+00	2.70212373e-01
2.08362273e-02	7.62637108e-01	6.65774070e+00	1.14548935e-01	1.24752186e+00	3.54870166e+00	3.51543178e-01	1.73884077e+00	4.47541751e+00	3.88531520e-01	7.24028792e-01	8.06895347e+00	8.97301980e-02	2.85549375e-01	2.61620692e+01	1.09146327e-02	1.01461424e+00	5.91892971e+00	1.71418531e-01
2.77816363e-02	5.02741991e-01	1.02627527e+01	4.89870511e-02	7.06732224e-01	3.79819964e+00	1.86070321e-01	9.73237005e-01	4.35238866e+00	2.23609857e-01	1.50171312e-01	3.04290848e+01	4.93512417e-03	1.10989202e-01	4.93741473e+01	2.24792139e-03	2.29914035e-01	1.38042379e+01	1.66553225e-02
3.47270454e-02	6.55489950e-01	1.17932817e+01	5.55816412e-02	6.77003433e-01	6.06402271e+00	1.11642628e-01	6.02369769e-01	6.92863793e+00	8.69391321e-02	4.44759681e-01	9.18172956e+00	4.84396407e-02	5.50485002e-01	1.00954851e+01	5.45278405e-02	3.17884247e-01	1.03577417e+01	3.06904976e-02
4.16724545e-02	5.17469234e-02	8.09985051e+01	6.38862697e-04	4.83871122e-01	4.85404007e+00	9.96842043e-02	5.57486412e-01	4.92078348e+00	1.13292205e-01	1.82514981e-01	1.46229831e+01	1.24813780e-02	2.84365000e-01	1.36755557e+01	2.07936705e-02	2.51363401e-01	8.12578545e+00	3.09340435e-02
4.86178636e-02	2.15697386e-01	7.32218034e+00	2.94580816e-02	3.36255620e-01	2.84440953e+00	1.18216317e-01	6.08438034e-01	2.79124463e+00	2.17980906e-01	4.06450454e-01	4.74222296e+00	8.57088452e-02	1.07939863e-01	1.78516249e+01	6.04650072e-03	1.71278958e-01	4.87685123e+00	3.51208084e-02
5.55632727e-02	2.17163653e-01	4.90921281e+00	4.42359419e-02	3.02730242e-01	2.60411134e+00	1.16250883e-01	5.71182863e-01	2.93996800e+00	1.94282000e-01	3.76017788e-01	5.77560996e+00	6.51044289e-02	1.82706057e-01	1.02300102e+01	1.78598118e-02	3.68731715e-01	2.23286694e+00	1.65138239e-01
6.25086818e-02	2.69689286e-01	9.19033367e+00	2.93448852e-02	7.69543555e-01	2.74557979e+00	2.80284535e-01	5.02198698e-01	5.04349172e+00	9.95736141e-02	3.74266404e-01	7.59560112e+00	4.92740994e-02	4.66361217e-01	7.35971479e+00	6.33667514e-02	6.35052264e-01	3.30118295e+00	1.92371121e-01
6.94540908e-02	6.55243810e-02	2.25131888e+01	2.91048868e-03	4.78786274e-01	2.36801220e+00	2.02189108e-01	3.27872444e-01	2.62188011e+00	1.25052417e-01	2.71752782e-01	6.00587974e+00	4.52477894e-02	3.47220782e-01	5.59883568e+00	6.20166052e-02	7.96124842e-02	1.27832937e+01	6.22785380e-03
7.63994999e-02	1.87247862e-01	8.31890880e+00	2.25087047e-02	1.71373996e-01	4.89528882e+00	3.50079438e-02	7.42232246e-02	1.03494646e+01	7.17169705e-03	4.07449443e-02	4.48075966e+01	9.09331172e-04	3.91893896e-01	5.50439569e+00	7.11965342e-02	2.59766901e-01	2.93647397e+00	8.84621840e-02
8.33449090e-02	2.75566054e-01	1.01543910e+01	2.71376248e-02	2.92625274e-01	6.21973788e+00	4.70478466e-02	1.02636857e-01	2.24692423e+01	4.56788245e-03	1.20769922e-01	2.90037507e+01	4.16394153e-03	2.11410690e-01	1.16058660e+01	1.82158479e-02	2.00095759e-01	1.31426983e+01	1.52248613e-02
9.02903181e-02	4.41386196e-01	4.00857015e+00	1.10110633e-01	5.33356690e-01	2.41630399e+00	2.20732446e-01	5.59596391e-01	3.26945632e+00	1.71158852e-01	4.69885471e-01	5.06083471e+00	9.28474250e-02	3.88499092e-01	5.09270460e+00	7.62854166e-02	6.35911428e-02	2.93736733e+01	2.16490264e-03
9.72357272e-02	2.38240975e-01	3.84065266e+00	6.20313774e-02	3.80319534e-01	2.54546692e+00	1.49410519e-01	4.10306812e-01	2.47563383e+00	1.65738086e-01	4.78503383e-01	2.80107576e+00	1.70828433e-01	3.23844053e-01	3.60292658e+00	8.98836115e-02	4.42473919e-02	2.03253890e+01	2.17695178e-03
1.04181136e-01	2.73931025e-01	4.32920298e+00	6.32751633e-02	8.64659754e-02	1.01641937e+01	8.50691931e-03	2.07488859e-01	3.50438450e+00	5.92083598e-02	9.84156848e-02	9.51757261e+00	1.03404186e-02	1.56746244e-01	7.18159802e+00	2.18260955e-02	8.20013323e-02	8.45896808e+00	9.69401132e-03
1.11126545e-01	3.32458106e-01	4.85083966e+00	6.85361977e-02	2.93502427e-01	4.28809822e+00	6.84458266e-02	1.74248091e-01	6.52459804e+00	2.67063335e-02	1.97533500e-01	5.98229054e+00	3.30197102e-02	2.48011272e-01	7.17297233e+00	3.45758021e-02	4.16128874e-02	1.72998855e+01	2.40538513e-03
1.18071954e-01	7.35633784e-02	1.98889042e+01	3.69871451e-03	2.31519881e-01	2.58823202e+00	8.94509762e-02	2.79344652e-01	3.66312680e+00	7.62585264e-02	1.33853007e-01	6.46803953e+00	2.06945252e-02	8.55523667e-02	1.49103158e+01	5.73779710e-03	2.39633081e-01	2.82854261e+00	8.47196293e-02
1.25017364e-01	5.90327925e-02	2.16884828e+01	2.72184980e-03	2.04865958e-01	1.87914464e+00	1.09020856e-01	1.69817920e-01	3.54910196e+00	4.78481378e-02	2.60290948e-01	2.60248094e+00	1.00016466e-01	6.71637593e-02	1.31821018e+01	5.09507211e-03	1.47861383e-01	4.44573887e+00	3.32591246e-02
1.31962773e-01	1.10814557e-01	2.83420344e+01	3.90990128e-03	2.95202391e-01	4.25475544e+00	6.93817529e-02	3.81842920e-01	5.78754477e+00	6.59766680e-02	4.44282482e-01	6.60309245e+00	6.72840015e-02	2.91565897e-01	9.85652862e+00	2.95809923e-02	2.74389588e-01	7.99816165e+00	3.43065820e-02
